match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Final third phase,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,Ground duels,High claims,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards
93,12437053,ipswich,245,20/38 (53%),42%,2,2,0,2,6,22,4,3/12 (25%),10,8/19 (42%),47%,,0,1.00,58,85/127 (67%),3,11,10,12,4,0.11,34/78 (44%),3,0,9,10/41 (24%),,320,,0,37,1,8,6,2,6,16,44%,0,25,4,14,16,26,6
93,12437053,leicester,346,18/38 (47%),58%,4,3,1,0,8,18,6,6/21 (29%),4,12/24 (50%),53%,,1,1.55,54,72/109 (66%),1,10,11,10,1,-0.42,44/78 (56%),1,0,4,25/68 (37%),,432,,2,45,0,14,6,6,6,21,52%,2,17,1,20,21,40,2
94,12437054,liverpool,367,10/18 (56%),49%,4,4,,0,6,13,9,4/18 (22%),10,8/16 (50%),58%,,,1.65,57,64/106 (60%),2,10,18,4,4,-0.50,52/88 (59%),,0,10,18/43 (42%),1,443,,,52,,14,2,8,2,28,68%,0,17,4,16,28,31,1
94,12437054,brighton,407,8/18 (44%),51%,1,1,,2,4,27,7,5/15 (33%),11,8/25 (32%),42%,,,1.01,45,82/108 (76%),3,18,10,8,6,-0.17,36/88 (41%),,0,9,23/47 (49%),0,469,,,55,,7,4,5,6,18,72%,1,18,6,13,18,24,2
95,12437057,forest,378,13/28 (46%),53%,3,2,1,0,3,21,10,3/20 (15%),9,6/10 (60%),50%,0,,2.17,47,155/187 (83%),3,7,9,3,1,0.03,32/62 (52%),0,0,6,24/46 (52%),1,446,,,44,0,9,10,6,10,18,67%,1,20,1,19,18,32,1
95,12437057,west-ham,308,15/28 (54%),47%,0,0,0,1,0,30,6,3/15 (20%),11,10/17 (59%),50%,1,,0.13,52,54/104 (52%),0,9,7,12,3,-0.14,30/62 (48%),1,0,11,15/52 (29%),1,392,,,38,1,2,2,2,2,13,85%,0,13,3,4,13,9,4
96,12437058,southampton,540,7/13 (54%),65%,1,1,,1,2,22,3,6/19 (32%),9,12/24 (50%),49%,,2,0.74,58,101/121 (83%),4,14,18,9,5,0.85,42/87 (48%),2,0,7,20/33 (61%),3,589,,1,52,,8,5,2,1,14,57%,1,8,5,9,14,22,4
96,12437058,everton,247,6/13 (46%),35%,3,3,,0,3,17,6,5/19 (26%),10,11/15 (73%),51%,,0,1.56,52,59/102 (58%),2,18,14,7,1,-0.19,45/87 (52%),0,2,8,20/51 (39%),1,305,,1,50,,10,8,5,6,21,38%,0,12,1,16,21,27,2
97,12437060,wolves,389,13/28 (46%),57%,4,2,2,,1,21,3,2/12 (17%),9,14/19 (74%),58%,0,1,1.53,48,56/87 (64%),0,7,9,8,4,0.87,47/76 (62%),1,0,13,32/64 (50%),4,484,,,50,,7,4,6,4,25,40%,,26,4,11,25,20,1
97,12437060,crystal-palace,273,15/28 (54%),43%,4,3,1,,5,27,6,5/23 (22%),15,9/19 (47%),42%,1,0,2.51,63,66/109 (61%),1,9,7,5,4,-0.26,29/76 (38%),1,0,9,23/47 (49%),1,358,,,52,,17,7,7,2,14,50%,,19,4,19,14,28,2
98,12437059,tottenham,354,12/23 (52%),51%,3,0,3,0,2,17,6,2/23 (9%),7,5/17 (29%),45%,0,0,2.44,52,122/152 (80%),2,14,14,7,1,-0.02,35/82 (43%),2,0,16,12/24 (50%),,397,,1,55,,8,8,6,8,17,41%,1,12,1,16,17,22,2
98,12437059,aston-villa,324,11/23 (48%),49%,4,3,1,1,3,21,4,3/12 (25%),7,14/24 (58%),55%,1,2,1.86,31,54/70 (77%),2,14,14,12,2,-1.16,47/82 (57%),3,1,11,16/37 (43%),,386,,0,50,,7,8,1,5,19,58%,1,16,2,12,19,15,0
99,12437055,man-utd,322,8/25 (32%),46%,4,3,1,,3,16,4,3/13 (23%),9,10/21 (48%),43%,,3,1.98,46,58/94 (62%),2,19,14,7,2,-0.26,45/99 (45%),0,1,11,15/49 (31%),4,405,,0,51,,8,4,4,3,22,59%,1,12,2,11,22,22,6
99,12437055,chelsea,397,17/25 (68%),54%,1,1,0,,5,19,8,1/19 (5%),13,15/24 (63%),57%,,1,1.10,47,83/115 (72%),2,14,19,3,3,-0.11,54/99 (55%),1,1,7,16/40 (40%),0,475,,2,46,,8,4,3,4,20,55%,1,13,3,12,20,30,2
100,12437052,fulham,565,17/40 (43%),68%,1,1,,1,10,11,11,9/43 (21%),11,12/17 (71%),52%,,,1.35,74,215/239 (90%),2,3,10,6,1,-0.23,36/62 (58%),0,0,13,28/59 (47%),2,643,,1,52,,16,4,12,10,15,53%,3,21,1,26,15,49,2
100,12437052,brentford,227,23/40 (58%),32%,1,1,,0,2,38,3,1/6 (17%),9,7/13 (54%),48%,,,0.59,59,51/95 (54%),0,10,3,11,10,0.35,26/62 (42%),2,0,12,19/67 (28%),0,321,,1,54,,3,1,2,2,16,75%,0,8,10,5,16,9,1
101,12436876,brentford,313,37/55 (67%),52%,2,0,2,1,4,41,6,5/23 (22%),11,4/9 (44%),58%,1,,1.48,47,70/112 (63%),3,8,16,9,1,-0.32,30/60 (50%),1,0,6,14/53 (26%),0,413,,1,49,,10,2,6,2,11,55%,1,19,1,12,11,29,2
101,12436876,bournemouth,290,18/55 (33%),48%,3,1,2,0,9,32,4,6/23 (26%),7,6/10 (60%),42%,0,,2.61,78,117/167 (70%),2,16,8,6,3,-1.16,30/60 (50%),0,1,8,22/68 (32%),1,386,,2,54,,11,3,3,4,16,75%,1,21,3,15,16,34,4
102,12436483,crystal-palace,274,13/30 (43%),36%,4,4,0,2,2,25,1,2/12 (17%),10,6/12 (50%),48%,1,0,1.52,45,67/98 (68%),1,10,11,10,5,-0.81,35/71 (49%),0,0,19,23/55 (42%),1,355,,,51,1,8,6,5,5,19,58%,1,15,5,13,19,16,1
102,12436483,fulham,531,17/30 (57%),64%,3,1,2,0,4,12,8,5/20 (25%),13,10/16 (63%),52%,0,2,1.83,72,141/182 (77%),1,11,10,6,4,1.14,36/71 (51%),1,0,11,30/53 (57%),4,625,,,66,0,11,6,7,6,16,63%,5,20,4,17,16,32,1
103,12436486,west-ham,349,18/36 (50%),49%,2,2,,0,4,33,7,2/14 (14%),8,7/19 (37%),45%,,1,0.83,62,99/136 (73%),1,10,9,7,4,0.53,29/69 (42%),2,1,4,26/57 (46%),1,447,,,48,,7,1,6,4,13,46%,3,23,4,11,13,19,1
103,12436486,everton,341,18/36 (50%),51%,0,0,,3,6,16,6,10/27 (37%),4,10/19 (53%),55%,,1,1.11,78,93/146 (64%),2,9,10,5,6,1.21,40/69 (58%),1,0,8,25/62 (40%),1,450,,,46,,11,8,4,7,20,40%,1,32,6,18,20,26,2
104,12436485,wolves,213,5/14 (36%),29%,1,0,1,0,3,27,1,1/3 (33%),11,12/17 (71%),48%,,2,1.26,30,38/63 (60%),0,14,12,7,0,0.00,38/76 (50%),,0,7,15/40 (38%),3,278,,,44,,4,1,4,4,14,64%,1,10,0,8,14,19,1
104,12436485,southampton,606,9/14 (64%),71%,1,1,0,1,3,6,9,4/25 (16%),8,9/15 (60%),52%,,2,0.66,63,122/150 (81%),5,12,14,4,2,-0.62,38/76 (50%),,0,5,17/29 (59%),0,673,,,45,,5,6,0,4,16,44%,0,20,2,9,16,19,4
105,12436882,brighton,372,6/11 (55%),40%,8,6,2,1,2,21,0,4/8 (50%),7,2/7 (29%),44%,,,2.29,34,54/72 (75%),1,12,10,7,5,1.98,28/67 (42%),0,0,12,22/37 (59%),3,426,,,46,,8,4,4,2,16,38%,2,12,5,10,16,20,3
105,12436882,man-city,586,5/11 (45%),60%,5,4,1,0,3,8,4,4/11 (36%),12,15/19 (79%),56%,,,2.22,61,100/135 (74%),1,10,12,3,2,-0.45,39/67 (58%),2,1,4,24/40 (60%),1,653,,,43,,12,6,6,3,12,42%,1,18,2,15,12,28,3
106,12436484,liverpool,546,6/12 (50%),62%,4,2,2,,3,15,2,3/8 (38%),10,9/15 (60%),49%,0,1,2.02,54,103/139 (74%),3,11,15,7,2,0.61,36/74 (49%),2,0,7,21/42 (50%),1,619,,,50,,9,6,5,5,12,75%,1,13,2,14,12,30,0
106,12436484,aston-villa,288,6/12 (50%),38%,5,5,0,,2,18,9,7/23 (30%),9,11/14 (79%),51%,1,0,1.38,23,45/67 (67%),2,15,11,11,3,-0.75,38/74 (51%),0,0,6,17/34 (50%),1,351,,,54,,9,8,2,3,16,50%,0,9,3,12,16,28,3
107,12436494,man-utd,418,12/31 (39%),51%,1,1,,1,6,18,1,4/15 (27%),15,11/18 (61%),47%,,,0.76,46,106/141 (75%),1,9,5,2,5,0.72,49/98 (50%),1,0,7,13/39 (33%),1,491,,,64,,6,4,3,7,33,73%,0,20,5,13,33,17,0
107,12436494,leicester,388,19/31 (61%),49%,1,1,,0,0,18,5,3/16 (19%),18,19/34 (56%),53%,,,0.63,50,68/99 (69%),6,5,9,3,1,-2.59,49/98 (50%),0,0,7,15/42 (36%),2,466,,,57,,4,1,5,2,22,64%,1,26,1,6,22,11,1
108,12436487,forest,299,15/37 (41%),44%,2,1,1,1,3,28,4,5/23 (22%),7,6/12 (50%),53%,,1,0.63,53,101/137 (74%),3,13,6,9,3,-0.66,41/69 (59%),1,0,7,23/53 (43%),3,383,,1,50,,7,3,3,2,29,66%,,17,3,9,29,17,1
108,12436487,newcastle,427,22/37 (59%),56%,2,1,1,0,4,20,5,5/28 (18%),17,2/14 (14%),47%,,1,1.70,62,140/178 (79%),4,6,13,3,2,-0.14,28/69 (41%),3,0,14,16/38 (42%),0,494,,0,57,,12,7,6,5,13,62%,,20,2,17,13,33,1
109,12436492,tottenham,462,16/29 (55%),66%,2,2,0,0,3,13,12,6/33 (18%),7,11/21 (52%),53%,1,1,1.55,63,138/186 (74%),2,10,19,2,1,0.40,42/80 (53%),1,0,13,23/41 (56%),,550,,,52,,11,9,5,6,13,46%,,22,1,17,13,36,1
109,12436492,ipswich,188,13/29 (45%),34%,4,2,2,3,3,34,2,3/8 (38%),10,13/16 (81%),47%,0,1,1.62,44,58/102 (57%),2,19,10,15,5,0.43,38/80 (48%),6,1,11,21/60 (35%),,278,,,49,,6,2,3,2,17,53%,,13,5,8,17,23,5
110,12436890,chelsea,358,9/19 (47%),49%,1,1,0,0,8,18,4,5/14 (36%),8,7/12 (58%),52%,1,1,1.54,44,73/98 (74%),3,12,12,8,2,-0.22,38/71 (54%),1,0,7,24/50 (48%),1,419,,1,43,,5,6,3,12,19,84%,0,9,2,17,19,22,4
110,12436890,arsenal,375,10/19 (53%),51%,4,3,1,1,6,17,3,2/17 (12%),16,8/11 (73%),48%,0,1,1.55,54,84/108 (78%),3,12,12,7,2,-0.71,33/71 (46%),4,0,6,15/31 (48%),7,425,,1,43,,8,4,3,5,13,46%,1,18,2,13,13,19,2
111,12436495,leicester,264,7/15 (47%),37%,1,0,1,1,1,19,2,1/7 (14%),7,6/17 (35%),45%,1,1,1.11,44,40/71 (56%),3,15,11,12,4,0.36,35/78 (45%),1,0,8,16/61 (26%),3,353,,0,41,,4,2,1,0,18,50%,1,19,4,4,18,9,4
111,12436495,chelsea,528,8/15 (53%),63%,4,2,2,0,3,11,9,2/15 (13%),4,10/24 (42%),55%,0,0,2.75,67,121/159 (76%),2,12,15,4,0,-0.20,43/78 (55%),0,0,9,19/40 (48%),1,609,,1,47,,11,6,7,5,18,61%,0,17,0,16,18,38,3
112,12436489,arsenal,536,11/25 (44%),66%,1,1,,0,5,14,8,3/18 (17%),6,8/18 (44%),51%,,,1.19,54,139/170 (82%),1,10,11,6,0,0.00,34/64 (53%),1,0,4,20/34 (59%),4,587,,1,39,,14,7,7,5,15,87%,,15,0,19,15,48,3
112,12436489,forest,240,14/25 (56%),34%,0,0,,2,2,24,1,7/18 (39%),9,4/10 (40%),49%,,,0.33,29,50/75 (67%),4,11,10,13,3,-1.56,30/64 (47%),0,0,10,20/43 (47%),2,295,,0,30,,5,5,0,2,16,63%,,11,3,7,16,14,2
113,12436493,aston-villa,531,12/23 (52%),70%,4,3,1,1,6,12,10,6/20 (30%),14,12/21 (57%),48%,,0,3.11,78,132/177 (75%),2,10,10,8,4,-0.13,31/66 (47%),,1,4,18/36 (50%),1,617,0,0,57,,15,6,5,2,9,56%,1,16,4,17,9,48,3
113,12436493,crystal-palace,180,11/23 (48%),30%,4,2,2,1,1,25,1,2/15 (13%),6,3/6 (50%),52%,,1,1.26,44,47/83 (57%),2,11,10,11,3,0.83,35/66 (53%),,1,10,14/55 (25%),2,261,1,2,53,,10,6,6,3,23,70%,1,15,3,13,23,17,2
114,12436491,bournemouth,415,8/26 (31%),55%,4,3,1,0,3,8,7,6/36 (17%),9,5/16 (31%),43%,,,1.63,78,131/171 (77%),2,13,10,6,2,-0.41,35/75 (47%),0,1,10,21/45 (47%),5,479,,0,67,0,14,11,5,5,20,55%,0,16,2,19,20,39,2
114,12436491,brighton,339,18/26 (69%),45%,2,0,2,1,1,31,0,2/2 (100%),12,8/16 (50%),57%,,,0.94,51,54/92 (59%),0,10,13,18,4,0.29,40/75 (53%),3,0,6,20/52 (38%),1,421,,1,47,1,5,1,4,1,20,65%,1,18,4,6,20,14,4
115,12436488,everton,405,15/33 (45%),59%,1,1,,0,10,23,10,13/43 (30%),13,10/15 (67%),49%,,,1.20,72,176/217 (81%),3,8,10,4,2,0.38,31/61 (51%),0,0,3,27/46 (59%),3,465,,0,47,0,16,12,5,11,12,42%,0,15,2,27,12,40,
115,12436488,brentford,271,18/33 (55%),41%,2,2,,1,3,32,4,2/11 (18%),8,5/9 (56%),51%,,,1.10,45,41/77 (53%),1,10,8,14,5,0.75,30/61 (49%),2,0,3,19/46 (41%),3,342,,1,46,1,5,4,2,4,18,61%,1,12,5,9,18,15,
116,12436490,fulham,463,6/13 (46%),59%,1,1,0,,3,10,7,8/28 (29%),11,8/14 (57%),52%,0,1,1.03,60,156/201 (78%),2,14,14,4,1,-2.56,44/84 (52%),0,2,11,18/43 (42%),2,545,,1,51,,5,4,3,5,23,65%,1,21,1,10,23,23,3
116,12436490,wolves,325,7/13 (54%),41%,2,0,2,,3,36,2,0/6 (0%),12,10/21 (48%),48%,1,0,1.32,45,63/96 (66%),0,14,14,7,2,-0.26,40/84 (48%),1,0,8,26/54 (48%),1,392,,1,53,,7,2,5,3,17,59%,1,25,2,10,17,23,0
117,12436499,man-city,523,10/15 (67%),58%,4,4,0,1,7,13,9,7/33 (21%),8,9/14 (64%),48%,2,0,2.14,61,188/214 (88%),3,19,9,2,3,-0.57,31/71 (44%),0,1,9,22/31 (71%),2,566,,1,45,,17,11,5,6,13,62%,2,16,3,23,13,43,4
117,12436499,tottenham,358,5/15 (33%),42%,6,2,4,0,0,26,3,3/10 (30%),5,8/16 (50%),52%,0,1,2.51,26,56/78 (72%),1,9,19,17,5,1.10,40/71 (56%),3,1,5,12/32 (38%),3,427,,1,44,,7,2,7,2,13,85%,0,9,5,9,13,17,2
118,12436506,southampton,303,4/7 (57%),38%,3,1,2,3,0,32,3,3/8 (38%),3,9/22 (41%),49%,2,3,1.28,27,39/54 (72%),2,11,8,8,8,1.10,33/69 (48%),2,0,5,9/29 (31%),0,365,0,,45,,5,2,5,2,15,53%,0,13,8,7,15,17,3
118,12436506,liverpool,531,3/7 (43%),62%,7,5,2,1,9,4,10,9/30 (30%),11,10/14 (71%),51%,0,0,3.15,77,222/273 (81%),6,9,10,6,3,-0.11,36/69 (52%),0,1,8,16/39 (41%),1,600,1,,45,,18,7,11,9,16,75%,1,18,3,27,16,51,4
119,12436497,ipswich,349,9/23 (39%),40%,3,3,0,0,2,12,4,4/16 (25%),9,5/11 (45%),48%,,,1.59,58,91/128 (71%),2,11,10,4,3,0.07,31/61 (51%),2,0,5,17/43 (40%),0,424,,,51,,5,3,6,6,16,44%,0,17,3,11,16,11,
119,12436497,man-utd,568,14/23 (61%),60%,2,1,1,1,2,16,3,1/7 (14%),7,5/14 (36%),52%,,,0.80,45,75/103 (73%),1,10,11,3,5,0.67,30/61 (49%),1,0,11,22/52 (42%),1,649,,,46,,8,5,4,3,15,53%,1,21,5,11,15,16,
120,12436496,newcastle,433,7/22 (32%),53%,2,2,,,6,20,8,10/35 (29%),18,5/13 (38%),40%,,0,1.64,72,143/190 (75%),1,11,8,4,4,-0.98,33/77 (43%),,0,7,14/35 (40%),1,509,,1,62,,14,10,2,4,21,62%,,22,4,18,21,40,1
120,12436496,west-ham,390,15/22 (68%),47%,0,0,,,6,34,3,2/12 (17%),10,8/19 (42%),60%,,1,0.81,48,74/103 (72%),1,8,11,17,2,0.43,44/77 (57%),,0,10,23/69 (33%),0,475,,2,58,,7,3,6,8,26,77%,,16,2,15,26,17,0
121,12436501,brighton,414,10/19 (53%),52%,3,2,1,,7,16,7,11/32 (34%),8,9/18 (50%),46%,,0,1.68,43,111/140 (79%),5,20,16,3,1,-0.56,39/87 (45%),3,1,3,16/30 (53%),3,458,,,48,,15,10,5,7,14,57%,1,13,1,22,14,44,2
121,12436501,southampton,368,9/19 (47%),48%,1,1,0,,6,30,6,4/23 (17%),8,12/18 (67%),54%,,2,1.01,41,50/72 (69%),0,16,20,14,4,-0.31,48/87 (55%),0,1,4,23/40 (58%),1,421,,,39,,8,2,2,2,17,53%,2,7,4,10,17,21,4
122,12436500,brentford,489,19/36 (53%),60%,4,,4,,4,27,5,2/20 (10%),8,16/23 (70%),58%,1,1,2.40,74,164/209 (78%),3,9,10,5,2,0.14,46/76 (61%),1,0,9,19/39 (49%),1,576,,1,54,,10,3,6,3,20,40%,3,27,2,13,20,30,1
122,12436500,leicester,288,17/36 (47%),40%,1,,1,,3,26,4,2/17 (12%),5,7/22 (32%),42%,0,0,1.06,49,54/87 (62%),2,10,9,9,2,-0.46,30/76 (39%),1,0,10,18/64 (28%),1,378,,1,48,,3,1,3,4,15,60%,1,17,2,7,15,15,1
123,12436502,crystal-palace,320,18/34 (53%),49%,5,4,1,0,5,24,8,7/22 (32%),9,9/12 (75%),59%,,0,1.76,46,66/95 (69%),1,12,11,3,0,-1.00,48/78 (62%),0,0,13,22/50 (44%),2,402,,,53,,12,7,4,4,30,57%,2,22,0,16,30,24,3
123,12436502,newcastle,338,16/34 (47%),51%,0,0,0,1,1,25,9,2/22 (9%),14,6/22 (27%),41%,,1,0.04,46,74/112 (66%),4,11,12,8,2,-0.07,30/78 (38%),3,0,8,29/48 (60%),2,418,,,49,,1,0,0,0,12,75%,1,22,2,1,12,12,3
124,12436503,forest,238,17/34 (50%),45%,2,1,1,,2,22,8,7/20 (35%),7,7/16 (44%),55%,,0,1.68,51,83/127 (65%),6,5,15,0,2,0.38,40/69 (58%),1,1,8,16/40 (40%),3,310,,1,41,,8,5,5,4,20,60%,1,19,2,12,20,26,1
124,12436503,ipswich,307,17/34 (50%),55%,0,0,0,,2,19,7,3/16 (19%),10,8/18 (44%),45%,,1,0.59,43,74/101 (73%),1,16,5,8,4,0.53,29/69 (42%),2,0,4,16/41 (39%),1,387,,0,36,,5,2,3,2,16,63%,0,26,4,7,16,19,3
125,12436922,wolves,440,12/26 (46%),60%,2,0,2,1,2,20,3,4/21 (19%),12,9/23 (39%),51%,,2,0.46,55,87/114 (76%),2,13,11,4,4,-0.67,47/89 (53%),1,0,6,25/49 (51%),2,520,,0,60,,5,5,3,5,28,64%,,25,4,10,28,18,5
125,12436922,bournemouth,265,14/26 (54%),40%,4,1,3,0,2,20,4,2/15 (13%),17,3/14 (21%),49%,,0,3.29,52,59/98 (60%),6,11,10,9,1,-0.78,42/89 (47%),1,0,8,24/53 (45%),1,344,,1,58,,10,2,8,2,26,54%,,13,1,12,26,20,1
126,12436914,west-ham,252,17/28 (61%),40%,2,1,1,0,4,21,2,1/9 (11%),9,5/13 (38%),58%,1,0,1.54,39,51/76 (67%),4,10,13,5,2,-1.25,40/71 (56%),1,1,6,24/49 (49%),1,323,,2,37,,8,3,5,4,22,73%,1,11,2,12,22,17,4
126,12436914,arsenal,400,11/28 (39%),60%,5,0,5,1,4,14,10,6/19 (32%),14,5/13 (38%),42%,0,1,3.60,56,119/160 (74%),4,13,8,4,3,0.28,31/71 (44%),0,0,6,22/43 (51%),1,479,,0,44,,13,5,7,3,17,35%,3,23,3,16,17,32,1
127,12436498,chelsea,561,5/12 (42%),64%,2,2,,0,3,5,3,2/12 (17%),9,8/15 (53%),42%,0,1,1.69,66,108/142 (76%),3,21,6,3,3,0.72,29/69 (42%),1,0,3,17/40 (43%),3,623,,,50,,12,6,8,5,17,59%,0,9,3,17,17,32,2
127,12436498,aston-villa,296,7/12 (58%),36%,2,2,,1,3,12,4,3/7 (43%),8,5/14 (36%),58%,1,2,1.23,30,29/51 (57%),0,6,21,8,5,-0.63,40/69 (58%),1,0,10,18/39 (46%),1,352,,,34,,8,3,4,2,16,44%,1,8,5,10,16,19,2
128,12436505,man-utd,566,9/19 (47%),60%,3,0,3,1,4,12,2,1/6 (17%),9,9/19 (47%),48%,0,0,1.07,27,64/80 (80%),1,12,12,4,2,0.16,37/77 (48%),,0,10,25/41 (61%),3,630,,,48,,9,2,5,2,16,69%,2,10,2,11,16,22,2
128,12436505,everton,356,10/19 (53%),40%,1,1,0,0,3,8,2,2/13 (15%),8,9/17 (53%),52%,2,1,0.58,50,56/92 (61%),4,12,12,3,1,-2.62,40/77 (52%),,0,5,21/43 (49%),2,412,,,43,,4,3,2,4,19,53%,1,11,1,8,19,13,3
129,12436507,tottenham,427,12/27 (44%),51%,2,1,1,2,2,23,7,2/16 (13%),9,3/10 (30%),50%,,0,0.78,66,116/153 (76%),3,4,14,5,5,0.66,33/63 (52%),1,1,9,13/29 (45%),1,493,,0,53,0,4,3,3,4,16,56%,1,19,5,8,16,16,0
129,12436507,fulham,383,15/27 (56%),49%,3,3,0,0,4,22,11,8/28 (29%),6,11/21 (52%),50%,,1,1.58,52,102/135 (76%),1,14,4,5,2,0.05,30/63 (48%),1,1,14,32/55 (58%),1,454,,1,59,1,12,4,6,2,16,63%,1,15,2,14,16,36,1
130,12436504,liverpool,347,7/12 (58%),44%,5,3,2,0,4,13,7,4/14 (29%),8,5/14 (36%),49%,,2,3.57,40,77/105 (73%),2,9,7,6,3,0.94,35/74 (47%),,2,6,25/61 (41%),4,415,,,55,,11,7,7,7,22,59%,2,21,3,18,22,30,1
130,12436504,man-city,481,5/12 (42%),56%,1,1,0,1,3,21,4,0/9 (0%),12,13/23 (57%),51%,,3,0.84,48,124/159 (78%),0,8,9,11,5,0.80,39/74 (53%),,0,5,10/32 (31%),3,544,,,44,,7,3,2,1,17,82%,1,13,5,8,17,30,3
131,12436961,ipswich,439,31/46 (67%),54%,1,1,0,,3,26,4,5/21 (24%),9,9/15 (60%),60%,,1,0.49,57,83/117 (71%),2,14,13,10,2,0.29,40/73 (55%),0,1,9,41/68 (60%),1,526,,0,52,,5,4,2,4,18,61%,0,13,2,9,18,13,2
131,12436961,crystal-palace,354,15/46 (33%),46%,3,2,1,,6,22,7,3/18 (17%),13,4/9 (44%),40%,,0,1.64,64,71/119 (60%),0,13,14,5,2,0.54,33/73 (45%),2,0,4,22/73 (30%),1,440,,2,51,,9,4,3,4,15,60%,1,13,2,13,15,22,4
132,12436966,leicester,287,20/49 (41%),39%,7,5,2,2,0,32,3,2/11 (18%),8,6/12 (50%),49%,,1,1.67,38,42/71 (59%),1,9,7,14,7,2.08,48/91 (53%),3,0,12,23/66 (35%),1,379,,1,55,,8,2,6,0,35,69%,2,13,7,8,35,20,2
132,12436966,west-ham,507,29/49 (59%),61%,5,4,1,2,11,11,9,10/27 (37%),15,20/40 (50%),51%,,2,3.10,75,179/224 (80%),2,7,9,3,3,-0.03,43/91 (47%),0,1,8,27/48 (56%),2,591,,0,61,,24,10,10,7,13,62%,2,27,3,31,13,57,2
133,12436947,everton,292,9/20 (45%),44%,2,2,,,4,29,3,1/10 (10%),16,11/25 (44%),44%,,,1.02,61,87/128 (68%),4,10,8,9,2,0.38,38/87 (44%),,0,13,34/63 (54%),4,366,,,53,,8,5,4,5,20,55%,,21,2,13,20,16,2
133,12436947,wolves,380,11/20 (55%),56%,2,2,,,2,13,4,0/13 (0%),9,10/21 (48%),56%,,,0.78,49,63/104 (61%),1,8,10,5,2,-3.17,49/87 (56%),,0,6,29/73 (40%),0,473,,,49,,2,2,2,4,30,67%,,30,2,6,30,15,0
134,12436972,man-city,521,7/12 (58%),67%,4,2,2,2,3,15,8,6/15 (40%),15,13/22 (59%),55%,,2,2.41,52,156/189 (83%),2,7,15,9,3,0.54,44/80 (55%),,0,5,19/33 (58%),1,583,,,48,,12,7,7,5,16,69%,1,16,3,17,16,42,2
134,12436972,forest,230,5/12 (42%),33%,1,1,0,2,2,18,2,3/13 (23%),11,5/10 (50%),45%,,0,1.04,39,73/102 (72%),3,15,7,10,3,0.18,36/80 (45%),,0,14,13/34 (38%),2,288,,,46,,8,7,3,4,24,67%,0,14,3,12,24,14,4
135,12436978,newcastle,277,9/18 (50%),41%,4,2,2,1,4,15,5,2/16 (13%),14,12/21 (57%),52%,0,1,2.09,43,63/95 (66%),5,9,17,6,2,0.44,43/82 (52%),3,1,5,15/36 (42%),4,350,,,54,,9,7,6,8,14,71%,3,20,2,17,14,21,2
135,12436978,liverpool,450,9/18 (50%),59%,4,3,1,1,6,22,6,3/15 (20%),5,7/16 (44%),48%,1,2,1.99,44,97/118 (82%),0,17,9,9,3,-0.47,39/82 (48%),1,2,10,15/41 (37%),0,514,,,49,,14,5,5,2,23,57%,0,15,3,16,23,35,5
136,12436984,southampton,384,7/13 (54%),45%,4,3,1,0,2,23,5,2/16 (13%),3,14/26 (54%),60%,1,1,1.56,27,61/75 (81%),0,7,14,8,6,0.45,39/64 (61%),0,0,6,18/38 (47%),3,432,,,36,1,6,0,4,0,12,83%,0,12,6,6,12,20,1
136,12436984,chelsea,494,6/13 (46%),55%,12,9,3,1,6,9,7,3/12 (25%),6,4/10 (40%),40%,0,1,5.43,59,149/172 (87%),1,14,7,1,3,0.84,25/64 (39%),1,3,8,11/18 (61%),1,535,,,44,0,22,7,13,4,15,67%,4,8,3,26,15,51,0
137,12436935,arsenal,403,12/21 (57%),50%,5,3,2,1,5,8,13,7/23 (30%),9,7/17 (41%),47%,,1,2.16,51,78/110 (71%),0,12,8,4,2,0.59,30/69 (43%),0,0,3,25/46 (54%),2,463,,0,45,,13,3,6,1,15,73%,1,16,2,14,15,36,1
137,12436935,man-utd,412,9/21 (43%),50%,0,0,0,1,0,24,0,1/6 (17%),9,8/14 (57%),53%,,0,0.22,38,63/85 (74%),3,8,12,7,4,0.86,39/69 (57%),2,0,10,23/52 (44%),2,476,,4,39,,3,3,2,2,19,53%,0,11,4,5,19,6,3
138,12436942,aston-villa,333,12/29 (41%),49%,4,3,1,0,4,22,10,6/24 (25%),6,9/17 (53%),53%,,1,2.43,38,72/90 (80%),2,11,14,5,0,-0.42,39/68 (57%),2,0,8,24/42 (57%),0,387,,0,53,,16,6,10,4,16,75%,3,13,0,20,16,41,2
138,12436942,brentford,342,17/29 (59%),51%,1,0,1,2,4,19,5,3/21 (14%),8,5/13 (38%),47%,,1,1.00,48,107/143 (75%),2,15,11,5,7,0.30,29/68 (43%),3,0,8,29/44 (66%),1,402,,1,44,,7,4,1,2,14,50%,2,15,7,9,14,25,2
